,n,const,sum,prod,simple_poly,horner_poly,bubble_sort,quicksort,timsort,matrix_dot
63,64.0,3.337860107421875e-07,1.0585784912109375e-05,5.578994750976562e-06,0.00015673637390136718,0.00012149810791015626,0.001102304458618164,8.7738037109375e-06,2.002716064453125e-06,2.8562545776367187e-05
64,65.0,2.384185791015625e-07,1.02996826171875e-05,5.4836273193359375e-06,0.00015730857849121093,0.0001201629638671875,0.0010342121124267579,8.630752563476563e-06,1.9550323486328123e-06,2.8085708618164062e-05
65,66.0,4.291534423828125e-07,1.0204315185546874e-05,5.388259887695313e-06,0.00016088485717773436,0.00012202262878417969,0.0010833263397216797,8.20159912109375e-06,1.8596649169921875e-06,2.8181076049804688e-05
66,67.0,3.814697265625e-07,9.965896606445312e-06,5.53131103515625e-06,0.00016655921936035157,0.00012364387512207032,0.0010547637939453125,8.296966552734374e-06,1.811981201171875e-06,2.7894973754882812e-05
67,68.0,3.337860107421875e-07,9.822845458984376e-06,5.388259887695313e-06,0.00016756057739257811,0.0001273632049560547,0.0012008190155029298,8.344650268554688e-06,2.384185791015625e-06,2.880096435546875e-05
68,69.0,7.152557373046875e-07,2.5177001953125e-05,1.0967254638671875e-05,0.0002463817596435547,0.00018091201782226561,0.0016074657440185546,2.1505355834960938e-05,3.4332275390625e-06,5.092620849609375e-05
69,70.0,7.62939453125e-07,2.193450927734375e-05,8.726119995117188e-06,0.0002223491668701172,0.00014719963073730468,0.001599884033203125,2.5987625122070312e-05,3.528594970703125e-06,5.3930282592773435e-05
70,71.0,3.814697265625e-07,1.5401840209960936e-05,7.104873657226563e-06,0.00020270347595214845,0.00014200210571289063,0.001424121856689453,1.4829635620117188e-05,2.765655517578125e-06,3.96728515625e-05
71,72.0,6.198883056640625e-07,1.9359588623046876e-05,6.961822509765625e-06,0.0001983642578125,0.00013446807861328125,0.0013671875,1.697540283203125e-05,2.384185791015625e-06,3.6096572875976564e-05
72,73.0,4.76837158203125e-07,1.33514404296875e-05,6.246566772460937e-06,0.00018105506896972656,0.0001354217529296875,0.001351642608642578,1.068115234375e-05,2.4318695068359373e-06,3.647804260253906e-05
73,74.0,4.291534423828125e-07,1.1730194091796876e-05,5.769729614257812e-06,0.00018415451049804687,0.00014081001281738282,0.001371908187866211,9.870529174804687e-06,2.3365020751953127e-06,3.747940063476562e-05
74,75.0,3.337860107421875e-07,1.163482666015625e-05,5.7220458984375e-06,0.0001857757568359375,0.00014047622680664064,0.00148773193359375,1.0061264038085938e-05,2.193450927734375e-06,3.848075866699219e-05
75,76.0,3.337860107421875e-07,1.1539459228515625e-05,5.674362182617188e-06,0.00018935203552246095,0.0001571178436279297,0.0014828205108642577,9.775161743164062e-06,2.1457672119140625e-06,3.461837768554687e-05
76,77.0,3.337860107421875e-07,1.068115234375e-05,5.4836273193359375e-06,0.00019779205322265626,0.0001494884490966797,0.0015280723571777343,9.72747802734375e-06,2.193450927734375e-06,3.7717819213867185e-05
77,78.0,2.86102294921875e-07,1.1014938354492188e-05,5.7220458984375e-06,0.00019173622131347657,0.00014390945434570313,0.0015848636627197265,9.107589721679688e-06,2.193450927734375e-06,3.757476806640625e-05
78,79.0,2.86102294921875e-07,1.1444091796875e-05,5.7220458984375e-06,0.0001941680908203125,0.00014786720275878907,0.0015678882598876953,1.0061264038085938e-05,2.5272369384765624e-06,3.838539123535156e-05
79,80.0,3.814697265625e-07,1.0824203491210937e-05,5.53131103515625e-06,0.00019502639770507812,0.0001498699188232422,0.001643800735473633,9.34600830078125e-06,2.384185791015625e-06,4.0197372436523436e-05
80,81.0,4.291534423828125e-07,1.3208389282226562e-05,6.151199340820313e-06,0.00020051002502441406,0.00014967918395996093,0.002012014389038086,1.1873245239257812e-05,2.765655517578125e-06,4.31060791015625e-05
81,82.0,3.337860107421875e-07,1.0824203491210937e-05,5.7220458984375e-06,0.0002002716064453125,0.0001506805419921875,0.001776266098022461,8.869171142578126e-06,2.47955322265625e-06,3.628730773925781e-05
82,83.0,9.5367431640625e-07,2.593994140625e-05,1.0967254638671875e-05,0.0002802371978759766,0.00019483566284179689,0.002272939682006836,2.0503997802734375e-05,3.0517578125e-06,6.122589111328125e-05
83,84.0,6.198883056640625e-07,2.2172927856445312e-05,8.535385131835937e-06,0.00024199485778808594,0.00018863677978515626,0.0019473552703857422,1.6260147094726563e-05,3.1948089599609376e-06,4.978179931640625e-05
84,85.0,6.67572021484375e-07,2.1839141845703124e-05,8.678436279296875e-06,0.0002685070037841797,0.00017642974853515625,0.0019458770751953126,1.6260147094726563e-05,2.9087066650390623e-06,4.8160552978515625e-05
85,86.0,4.291534423828125e-07,1.1968612670898438e-05,5.9604644775390625e-06,0.00021600723266601562,0.0001712322235107422,0.001906442642211914,1.1157989501953124e-05,2.8133392333984377e-06,4.124641418457031e-05
86,87.0,4.291534423828125e-07,1.1873245239257812e-05,5.865097045898438e-06,0.00021409988403320312,0.00017027854919433595,0.0019516468048095704,1.0776519775390626e-05,2.6226043701171875e-06,4.520416259765625e-05
87,88.0,2.86102294921875e-07,1.163482666015625e-05,5.865097045898438e-06,0.00021800994873046874,0.00016727447509765626,0.0019618988037109373,1.0633468627929688e-05,2.6226043701171875e-06,4.31060791015625e-05
88,89.0,3.337860107421875e-07,1.18255615234375e-05,5.865097045898438e-06,0.00022573471069335936,0.00016455650329589845,0.002092599868774414,1.0824203491210937e-05,2.6702880859375e-06,4.677772521972656e-05
89,90.0,2.86102294921875e-07,1.3446807861328125e-05,6.198883056640625e-06,0.0002265453338623047,0.0001652240753173828,0.002152681350708008,1.1157989501953124e-05,2.765655517578125e-06,4.5633316040039064e-05
90,91.0,4.76837158203125e-07,1.1920928955078125e-05,5.91278076171875e-06,0.00022430419921875,0.0001693248748779297,0.002111482620239258,1.02996826171875e-05,2.6226043701171875e-06,4.992485046386719e-05
91,92.0,5.7220458984375e-07,1.2254714965820312e-05,5.769729614257812e-06,0.00022993087768554687,0.00016808509826660156,0.002164888381958008,1.0538101196289063e-05,2.7179718017578126e-06,4.673004150390625e-05
92,93.0,4.291534423828125e-07,1.163482666015625e-05,5.674362182617188e-06,0.00022797584533691407,0.00017533302307128906,0.0021465301513671877,1.125335693359375e-05,2.86102294921875e-06,4.792213439941406e-05
93,94.0,2.86102294921875e-07,1.2111663818359374e-05,5.91278076171875e-06,0.00023450851440429688,0.00017333030700683594,0.0022811412811279295,1.0967254638671875e-05,3.4332275390625e-06,4.992485046386719e-05
94,95.0,5.245208740234375e-07,1.1730194091796876e-05,6.532669067382812e-06,0.0002350330352783203,0.00017414093017578124,0.0022811412811279295,1.0967254638671875e-05,2.8133392333984377e-06,5.0067901611328125e-05
95,96.0,6.67572021484375e-07,2.8896331787109376e-05,1.0538101196289063e-05,0.0003672122955322266,0.0003001689910888672,0.002865123748779297,2.117156982421875e-05,3.62396240234375e-06,6.608963012695312e-05
96,97.0,8.106231689453125e-07,2.8753280639648436e-05,9.965896606445312e-06,0.00029621124267578127,0.00022487640380859376,0.0028180599212646483,2.460479736328125e-05,3.7670135498046877e-06,6.580352783203125e-05
97,98.0,5.7220458984375e-07,1.6164779663085937e-05,6.866455078125e-06,0.0002457141876220703,0.00018434524536132814,0.0025597572326660155,1.25885009765625e-05,3.147125244140625e-06,5.2309036254882814e-05
98,99.0,3.337860107421875e-07,1.2063980102539063e-05,6.008148193359375e-06,0.00025234222412109377,0.000182342529296875,0.0024836063385009766,1.1587142944335938e-05,3.2901763916015627e-06,5.2595138549804686e-05
99,100.0,4.291534423828125e-07,1.201629638671875e-05,6.151199340820313e-06,0.00025448799133300783,0.00019087791442871094,0.002449226379394531,1.1157989501953124e-05,2.956390380859375e-06,5.249977111816406e-05
100,101.0,3.337860107421875e-07,1.18255615234375e-05,5.769729614257812e-06,0.0002498149871826172,0.00019736289978027343,0.0026355743408203124,1.0251998901367188e-05,3.4332275390625e-06,5.550384521484375e-05
101,102.0,4.291534423828125e-07,1.1587142944335938e-05,5.578994750976562e-06,0.00025501251220703123,0.0001991748809814453,0.0026479721069335937,1.0967254638671875e-05,2.7179718017578126e-06,5.5789947509765625e-05
102,103.0,3.337860107421875e-07,1.1491775512695313e-05,5.865097045898438e-06,0.000281524658203125,0.00018906593322753906,0.0026333808898925783,1.1301040649414062e-05,3.0994415283203125e-06,5.8317184448242186e-05
103,104.0,2.86102294921875e-07,1.1491775512695313e-05,5.674362182617188e-06,0.00026078224182128905,0.00019359588623046875,0.0028371810913085938,1.0919570922851562e-05,3.0994415283203125e-06,5.37872314453125e-05
104,105.0,4.291534423828125e-07,1.2969970703125e-05,6.055831909179687e-06,0.00026760101318359377,0.00019369125366210937,0.0027557849884033204,1.0728836059570312e-05,2.8133392333984377e-06,6.260871887207032e-05
105,106.0,2.86102294921875e-07,1.1873245239257812e-05,5.865097045898438e-06,0.0002736568450927734,0.0001976490020751953,0.00292510986328125,1.1491775512695313e-05,3.24249267578125e-06,6.399154663085937e-05
106,107.0,7.152557373046875e-07,2.2172927856445312e-05,8.153915405273438e-06,0.0002871513366699219,0.00020117759704589843,0.0041465282440185545,2.8514862060546874e-05,4.673004150390625e-06,8.12530517578125e-05
107,108.0,5.245208740234375e-07,2.040863037109375e-05,8.726119995117188e-06,0.00030908584594726565,0.00023145675659179686,0.003212594985961914,1.8978118896484374e-05,5.865097045898438e-06,7.238388061523438e-05
108,109.0,3.337860107421875e-07,1.2540817260742188e-05,6.389617919921875e-06,0.0002773284912109375,0.0002083301544189453,0.0029166221618652345,1.2731552124023437e-05,3.24249267578125e-06,6.59942626953125e-05
109,110.0,4.291534423828125e-07,1.1539459228515625e-05,5.674362182617188e-06,0.00027599334716796873,0.0002048969268798828,0.002929973602294922,1.0776519775390626e-05,3.147125244140625e-06,6.494522094726562e-05
110,111.0,3.814697265625e-07,1.1777877807617187e-05,6.008148193359375e-06,0.0002818107604980469,0.0002197742462158203,0.003100156784057617,1.10626220703125e-05,3.0517578125e-06,6.270408630371094e-05
111,112.0,3.814697265625e-07,1.1968612670898438e-05,5.865097045898438e-06,0.0002837181091308594,0.00021028518676757812,0.0032470226287841797,1.1539459228515625e-05,3.147125244140625e-06,6.623268127441407e-05
112,113.0,3.814697265625e-07,1.18255615234375e-05,5.769729614257812e-06,0.00028104782104492186,0.00020947456359863282,0.0031511783599853516,1.2969970703125e-05,3.6716461181640626e-06,7.143020629882813e-05
113,114.0,4.291534423828125e-07,1.239776611328125e-05,6.055831909179687e-06,0.00029582977294921874,0.00021004676818847656,0.0031169891357421876,1.2302398681640625e-05,3.24249267578125e-06,6.513595581054687e-05
114,115.0,3.337860107421875e-07,1.1682510375976562e-05,6.008148193359375e-06,0.0002856254577636719,0.00021257400512695313,0.0032523155212402345,1.1730194091796876e-05,3.3855438232421873e-06,6.475448608398438e-05
115,116.0,3.337860107421875e-07,1.3971328735351563e-05,6.580352783203125e-06,0.00029582977294921874,0.00021309852600097655,0.0037421226501464845,1.7404556274414062e-05,4.291534423828125e-06,7.677078247070312e-05
116,117.0,1.1920928955078125e-06,3.371238708496094e-05,1.3589859008789062e-05,0.00044956207275390623,0.0003283500671386719,0.00441899299621582,7.987022399902344e-05,2.6655197143554687e-05,0.00012712478637695314
117,118.0,7.62939453125e-07,2.0122528076171876e-05,7.486343383789062e-06,0.0003284931182861328,0.00030012130737304686,0.0035901546478271486,1.8072128295898437e-05,5.769729614257812e-06,7.915496826171875e-05
118,119.0,3.337860107421875e-07,1.2922286987304688e-05,6.532669067382812e-06,0.00030698776245117185,0.00021834373474121093,0.0034493446350097657,1.3589859008789062e-05,3.719329833984375e-06,6.895065307617187e-05
119,120.0,3.337860107421875e-07,1.392364501953125e-05,7.772445678710938e-06,0.00032825469970703124,0.00022225379943847657,0.003603076934814453,1.3113021850585938e-05,3.6716461181640626e-06,7.066726684570312e-05
120,121.0,4.291534423828125e-07,1.239776611328125e-05,5.9604644775390625e-06,0.00031757354736328125,0.00022258758544921876,0.003784513473510742,1.2922286987304688e-05,3.910064697265625e-06,7.786750793457032e-05
121,122.0,4.76837158203125e-07,1.2445449829101563e-05,6.008148193359375e-06,0.00031580924987792967,0.00022912025451660156,0.0035907745361328123,1.2922286987304688e-05,3.5762786865234375e-06,7.977485656738282e-05
122,123.0,3.337860107421875e-07,1.2540817260742188e-05,6.246566772460937e-06,0.00031552314758300783,0.00023097991943359374,0.004010152816772461,1.2874603271484375e-05,3.6716461181640626e-06,7.82012939453125e-05
123,124.0,3.814697265625e-07,1.2969970703125e-05,7.295608520507813e-06,0.00031976699829101564,0.00023412704467773438,0.004078340530395508,1.2826919555664062e-05,3.719329833984375e-06,7.963180541992188e-05
124,125.0,9.059906005859375e-07,2.956390380859375e-05,1.0919570922851562e-05,0.00040807723999023435,0.00027823448181152344,0.004352855682373047,3.0469894409179687e-05,5.388259887695313e-06,0.00014047622680664064
125,126.0,6.198883056640625e-07,1.9502639770507812e-05,7.772445678710938e-06,0.0003377437591552734,0.00026140213012695315,0.004179239273071289,2.346038818359375e-05,4.57763671875e-06,9.531974792480469e-05
126,127.0,3.337860107421875e-07,1.25885009765625e-05,6.198883056640625e-06,0.0003209114074707031,0.00023450851440429688,0.004165363311767578,1.2731552124023437e-05,3.719329833984375e-06,8.530616760253907e-05
